pv_away_team,stubhub_away_team
ATLANTA BRAVES,BRAVES
ARIZONA DIAMONDBACKS,DIAMONDBACKS
BALTIMORE ORIOLES,ORIOLES
CHICAGO CUBS,CUBS
CHICAGO WHITE SOX,WHITE SOX
CINCINNATI REDS,REDS
CLEVELAND INDIANS,INDIANS
COLORADO ROCKIES,ROCKIES
DETROIT TIGERS,TIGERS
HOUSTON ASTROS,ASTROS
KANSAS CITY ROYALS,ROYALS
LOS ANGELES ANGELS,ANGELS
LOS ANGELES DODGERS,DODGERS
MIAMI MARLINS,MARLINS
MINNESOTA TWINS,TWINS
MILWAUKEE BREWERS,BREWERS
MLB,MLB
NEW YORK METS,METS
NEW YORK YANKEES,YANKEES
OAKLAND ATHLETICS,ATHLETICS
PHILADELPHIA PHILLIES,PHILLIES
PITTSBURGH PIRATES,PIRATES
SAN FRANCISCO GIANTS,GIANTS
SEATTLE MARINERS,MARINERS
ST. LOUIS CARDINALS,CARDINALS
TAMPA BAY RAYS,RAYS
TEXAS RANGERS,RANGERS
TORONTO BLUE JAYS,BLUE JAYS
WASHINGTON NATIONALS,NATIONALS
